algorithm,iterations,global
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
