algorithm,iterations,functions
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,800,40101
