algorithm,value,iterations
RHC-Optimal,1.0,10
RHC-Optimal,4.0,10
RHC-Optimal,3.0,50
RHC-Optimal,2.0,50
RHC-Optimal,2.0,100
RHC-Optimal,5.0,100
RHC-Optimal,3.0,50
RHC-Optimal,1.0,50
RHC-Optimal,0.0,10
RHC-Optimal,0.0,10
RHC-Optimal,3.0,100
RHC-Optimal,0.0,10
RHC-Optimal,2.0,200
RHC-Optimal,6.0,50
RHC-Optimal,11.0,50
RHC-Optimal,4.0,25
RHC-Optimal,2.0,25
RHC-Optimal,3.0,50
RHC-Optimal,5.0,500
RHC-Optimal,1.0,50
RHC-Optimal,0.0,200
RHC-Optimal,3.0,25
RHC-Optimal,0.0,10
RHC-Optimal,6.0,100
RHC-Optimal,6.0,10
RHC-Optimal,3.0,50
RHC-Optimal,4.0,25
RHC-Optimal,8.0,200
RHC-Optimal,1.0,200
RHC-Optimal,19.0,500
RHC-Optimal,13.0,500
RHC-Optimal,9.0,200
RHC-Optimal,12.0,200
RHC-Optimal,1.0,100
RHC-Optimal,2.0,100
RHC-Optimal,2.0,100
RHC-Optimal,2.0,100
RHC-Optimal,2.0,200
RHC-Optimal,13.0,200
RHC-Optimal,4.0,50
RHC-Optimal,1.0,200
RHC-Optimal,15.0,200
RHC-Optimal,11.0,500
RHC-Optimal,7.0,200
RHC-Optimal,8.0,500
RHC-Optimal,2.0,100
RHC-Optimal,37.0,1000
RHC-Optimal,16.0,1000
RHC-Optimal,18.0,1000
RHC-Optimal,18.0,1000
RHC-Optimal,10.0,500
RHC-Optimal,1.0,500
RHC-Optimal,95.0,1000
RHC-Optimal,2.0,500
RHC-Optimal,20.0,500
RHC-Optimal,19.0,1000
RHC-Optimal,27.0,1000
RHC-Optimal,21.0,500
RHC-Optimal,11.0,500
RHC-Optimal,9.0,500
RHC-Optimal,30.0,1000
RHC-Optimal,8.0,500
RHC-Optimal,16.0,500
RHC-Optimal,9.0,1000
RHC-Optimal,29.0,1000
RHC-Optimal,10.0,1000
RHC-Optimal,7.0,1000
RHC-Optimal,8.0,1000
RHC-Optimal,7.0,1000
RHC-Optimal,10.0,500
RHC-Optimal,5.0,500
RHC-Optimal,3.0,200
RHC-Optimal,20.0,1000
RHC-Optimal,2.0,200
RHC-Optimal,4.0,100
RHC-Optimal,1.0,200
RHC-Optimal,54.0,500
RHC-Optimal,6.0,500
RHC-Optimal,16.0,500
RHC-Optimal,4.0,200
RHC-Optimal,2.0,25
RHC-Optimal,7.0,25
RHC-Optimal,1.0,25
RHC-Optimal,1.0,25
RHC-Optimal,9.0,500
RHC-Optimal,4.0,200
RHC-Optimal,19.0,1000
RHC-Optimal,18.0,500
RHC-Optimal,8.0,500
RHC-Optimal,35.0,1000
RHC-Optimal,6.0,500
RHC-Optimal,11.0,1000
RHC-Optimal,9.0,500
RHC-Optimal,40.0,1000
RHC-Optimal,19.0,500
RHC-Optimal,6.0,500
RHC-Optimal,36.0,1000
RHC-Optimal,9.0,500
RHC-Optimal,22.0,1000
RHC-Optimal,8.0,500
RHC-Optimal,9.0,500
RHC-Optimal,5.0,1000
RHC-Optimal,22.0,1000
RHC-Optimal,4.0,500
RHC-Optimal,14.0,1000
RHC-Optimal,10.0,500
RHC-Optimal,17.0,1000
RHC-Optimal,30.0,1000
RHC-Optimal,37.0,5000
RHC-Optimal,19.0,1000
RHC-Optimal,13.0,500
RHC-Optimal,7.0,1000
RHC-Optimal,9.0,1000
RHC-Optimal,21.0,1000
RHC-Optimal,18.0,1000
RHC-Optimal,14.0,1000
RHC-Optimal,26.0,1000
RHC-Optimal,10.0,500
RHC-Optimal,1.0,500
RHC-Optimal,18.0,1000
RHC-Optimal,13.0,1000
RHC-Optimal,26.0,1000
RHC-Optimal,60.0,5000
RHC-Optimal,8.0,1000
RHC-Optimal,12.0,1000
RHC-Optimal,16.0,1000
RHC-Optimal,37.0,5000
RHC-Optimal,20.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,37.0,5000
RHC-Optimal,67.0,5000
RHC-Optimal,49.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,37.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,54.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,49.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,89.0,5000
RHC-Optimal,28.0,5000
RHC-Optimal,78.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,37.0,5000
RHC-Optimal,20.0,5000
RHC-Optimal,44.0,5000
RHC-Optimal,75.0,5000
RHC-Optimal,83.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,65.0,5000
RHC-Optimal,43.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,44.0,5000
RHC-Optimal,80.0,5000
RHC-Optimal,20.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,80.0,5000
RHC-Optimal,72.0,5000
RHC-Optimal,47.0,5000
RHC-Optimal,75.0,5000
RHC-Optimal,20.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,40.0,5000
RHC-Optimal,70.0,5000
RHC-Optimal,60.0,5000
RHC-Optimal,20.0,5000
RHC-Optimal,78.0,5000
