algorithm,iterations,optimal
SA55,1000,10.0
SA55,1000,11.0
SA55,1000,13.0
SA55,1000,15.0
SA55,1000,7.0
SA55,1000,8.0
SA55,1000,9.0
SA55,1000,9.0
SA55,1500,115.0
SA55,1500,12.0
SA55,1500,16.0
SA55,1500,16.0
SA55,1500,18.0
SA55,1500,18.0
SA55,1500,19.0
SA55,1500,22.0
SA55,1500,23.0
SA55,1500,23.0
SA55,2000,120.0
SA55,2000,131.0
SA55,2000,14.0
SA55,2000,19.0
SA55,2000,24.0
SA55,2000,24.0
SA55,2000,26.0
SA55,2000,28.0
SA55,2000,32.0
SA55,2000,37.0
SA55,2500,136.0
SA55,2500,19.0
SA55,2500,21.0
SA55,2500,23.0
SA55,2500,24.0
SA55,2500,25.0
SA55,2500,26.0
SA55,2500,26.0
SA55,2500,28.0
SA55,2500,32.0
SA55,3000,11.0
SA55,3000,16.0
SA55,3000,23.0
SA55,3000,24.0
SA55,3000,24.0
SA55,3000,27.0
SA55,3000,29.0
SA55,3000,32.0
SA55,3000,37.0
SA55,3000,51.0
SA55,3500,131.0
SA55,3500,132.0
SA55,3500,137.0
SA55,3500,25.0
SA55,3500,28.0
SA55,3500,39.0
SA55,3500,42.0
SA55,3500,44.0
SA55,3500,46.0
SA55,3500,50.0
SA55,4000,26.0
SA55,4000,34.0
SA55,4000,35.0
SA55,4000,36.0
SA55,4000,38.0
SA55,4000,38.0
SA55,4000,45.0
SA55,4000,46.0
SA55,4000,48.0
SA55,4000,49.0
SA55,4500,26.0
SA55,4500,35.0
SA55,4500,36.0
SA55,4500,36.0
SA55,4500,38.0
SA55,4500,47.0
SA55,4500,51.0
SA55,4500,56.0
SA55,4500,60.0
SA55,4500,61.0
SA55,5000,152.0
SA55,5000,38.0
SA55,5000,40.0
SA55,5000,42.0
SA55,5000,44.0
SA55,5000,49.0
SA55,5000,56.0
SA55,5000,65.0
SA55,5000,65.0
SA55,5000,82.0
SA75,1,1.0
SA75,1,1.0
SA75,1,1.0
SA75,1,1.0
SA75,1,1.0
SA75,1,1.0
SA75,1,1.0
